TP_FUNDO;CNPJ_FUNDO;DT_REG;CNPJ_ADMIN;ADMIN
FIDC;17.007.496/0001-28;2012-11-07;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.012.019/0001-50;2012-11-22;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.012.609/0001-83;2012-11-23;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.012.639/0001-90;2013-06-12;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.012.685/0001-99;2013-04-18;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
FIDC;17.013.985/0001-92;2012-12-19;02.671.743/0001-19;CM CAPITAL MARKETS DTVM LTDA
FIDC;17.015.979/0001-74;2012-12-06;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.021.739/0001-82;2012-01-08;62.318.407/0001-19;SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A
FIDC;17.024.362/0001-15;2013-06-28;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.024.546/0001-85;2012-11-28;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
FIDC;17.030.517/0001-26;2013-12-13;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.030.581/0001-07;2013-10-17;24.361.690/0001-72;LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;17.031.327/0001-23;2017-12-26;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.033.142/0001-58;2012-11-07;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.043.211/0001-04;2013-08-21;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.043.211/0001-04;2015-06-03;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.047.287/0001-08;2012-11-09;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.093.144/0001-32;2012-11-22;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.093.199/0001-42;2014-02-17;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.121.204/0001-83;2013-01-08;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;17.163.831/0001-87;2017-11-29;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.198.361/0001-97;2017-12-18;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;17.198.518/0001-84;2016-01-22;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.198.574/0001-19;2013-11-14;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.198.624/0001-68;2016-10-06;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;17.198.676/0001-34;2015-04-15;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;17.198.804/0001-40;2014-02-12;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
