TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC
FACFIF;04.324.175/0001-05;ALFA PRIVATE FLEX 047 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2003-12-02;2003-12-02;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;06.039.125/0001-01;ALFA PRIVATE FLEX 048 FUNDO DE INVEST EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2003-12-26;2003-12-26;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;06.039.122/0001-78;ALFA PRIVATE FLEX 049 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2004-01-07;2004-01-07;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;06.049.369/0001-75;ALFA PRIVATE FLEX 050 - FUNDO DE APLICACAO EM QUOTAS DE FUNDO DE INVESTIMENTO FINANCEIRO;2004-01-09;2004-01-09;2005-01-17;CANCELADA;2005-01-17;;
FACFIF;06.049.311/0001-21;ALFA PRIVATE FLEX 051 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2004-02-16;2004-02-16;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;06.049.320/0001-12;ALFA PRIVATE FLEX 052 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2004-03-11;2004-03-11;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;06.049.346/0001-60;ALFA PRIVATE FLEX 054 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2004-04-14;2003-12-01;2005-01-27;CANCELADA;2005-01-27;2004-07-01;2005-06-30
FACFIF;06.049.350/0001-29;ALFA PRIVATE FLEX 055 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2004-05-10;2003-12-01;2005-01-27;CANCELADA;2005-01-27;2004-07-01;2005-06-30
FACFIF;06.049.468/0001-57;ALFA PRIVATE FLEX 056 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2004-05-19;2003-12-01;2005-01-27;CANCELADA;2005-01-27;2004-07-01;2005-06-30
FACFIF;01.100.306/0001-82;ALFA PRIVATE PORTFOLIO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO LP;2003-04-30;1996-06-10;2004-11-29;CANCELADA;2004-11-29;;
FACFIF;01.100.316/0001-18;ALFA XXIII - FDO APLIC QUOTAS FDO INV FINANCEIRO;2003-04-30;1996-08-02;2002-01-15;CANCELADA;2002-01-15;;
FACFIF;01.626.689/0001-27;ALFA XXXVII - FDO APLIC QUOTAS FDO INV FINANCEIRO;2003-04-30;1997-07-23;2000-09-05;CANCELADA;2000-09-05;;
